|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#Letter Input ActAvg,#Music Input ActAvg,#Letter Hidden ActAvg,#Letter Output ActAvg,#Hidden Context ActAvg,#Music Hidden ActAvg,#Music Output ActAvg,#Associator Layer ActAvg
0,89,0.2635,0.05269,0.3,0.7,0.8118,0.4178,0.19,0.1326,0.095,0.15,0.2008,0.19,0.15
0,90,0.3478,0.06957,0.4,0.6,0.7493,0.4178,0.19,0.1325,0.095,0.15,0.2009,0.19,0.15
0,91,0.6137,0.1227,0.7,0.3,0.5631,0.4178,0.19,0.1325,0.095,0.15,0.2009,0.19,0.15
0,92,0.2654,0.05307,0.3,0.7,0.8117,0.4178,0.19,0.1325,0.095,0.15,0.201,0.19,0.15
0,93,0.1989,0.03714,0.3,0.7,0.862,0.4178,0.19,0.1325,0.095,0.15,0.201,0.19,0.15
0,94,0.6125,0.1225,0.7,0.3,0.5581,0.4178,0.19,0.1325,0.095,0.15,0.2011,0.19,0.15
0,95,0.2655,0.0531,0.3,0.7,0.8114,0.4178,0.19,0.1326,0.095,0.15,0.2012,0.19,0.15
0,96,0.1723,0.03447,0.2,0.8,0.875,0.4178,0.19,0.1326,0.095,0.15,0.2012,0.19,0.15
0,97,0.7025,0.1405,0.8,0.2,0.5017,0.4178,0.19,0.1327,0.095,0.15,0.2013,0.19,0.15
0,98,0.2655,0.05311,0.3,0.7,0.8118,0.4178,0.19,0.1327,0.095,0.15,0.2013,0.19,0.15
0,99,0.4427,0.08853,0.5,0.5,0.6874,0.4178,0.19,0.1327,0.095,0.15,0.2014,0.19,0.15
0,100,0.3488,0.06976,0.4,0.6,0.7505,0.4178,0.19,0.1328,0.095,0.15,0.2014,0.19,0.15
0,101,0.5327,0.1065,0.6,0.4,0.6253,0.4178,0.19,0.1328,0.095,0.15,0.2015,0.19,0.15
0,102,0.4395,0.0879,0.5,0.5,0.6876,0.4178,0.19,0.1328,0.095,0.15,0.2015,0.19,0.15
0,103,0.3498,0.06996,0.4,0.6,0.7502,0.4178,0.19,0.1328,0.095,0.15,0.2016,0.19,0.15
0,104,0.4407,0.08813,0.5,0.5,0.6879,0.4178,0.19,0.1328,0.095,0.15,0.2016,0.19,0.15
0,105,0.3529,0.07057,0.4,0.6,0.7498,0.4178,0.19,0.1328,0.095,0.15,0.2017,0.19,0.15
0,106,0.5236,0.1047,0.6,0.4,0.6264,0.4178,0.19,0.1328,0.095,0.15,0.2017,0.19,0.15
0,107,0.4469,0.08938,0.5,0.5,0.6871,0.4178,0.19,0.1328,0.095,0.15,0.2018,0.19,0.15
0,108,0.4363,0.08727,0.5,0.5,0.6882,0.4178,0.19,0.1328,0.095,0.15,0.2018,0.19,0.15
0,109,0.5318,0.1064,0.6,0.4,0.6254,0.4178,0.19,0.1328,0.095,0.15,0.2019,0.19,0.15
0,110,0.4396,0.08791,0.5,0.5,0.688,0.4178,0.19,0.1328,0.095,0.15,0.2019,0.19,0.15
0,111,0.4446,0.08891,0.5,0.5,0.6872,0.4178,0.19,0.1328,0.095,0.15,0.202,0.19,0.15
0,112,0.2631,0.05261,0.3,0.7,0.8127,0.4178,0.19,0.1328,0.095,0.15,0.202,0.19,0.15
0,113,0.7052,0.141,0.8,0.2,0.5021,0.4178,0.19,0.1328,0.095,0.15,0.202,0.19,0.15
0,114,0.2657,0.05314,0.3,0.7,0.8122,0.4178,0.19,0.1328,0.095,0.15,0.2021,0.19,0.15
